Timestamp,Username,Name,Email,Phone Number,Date,Time Start,Court Room Number,Judge Name 1,Judge Name 2,Notes,Attorneys Present,The judge was impartial,Explanation,The judge was professional,Explanation.1,The judge was rational,Explanation.2,The judge was compassionate,Explanation.3,The judge was respectful,Explanation.4,The judge was unbiased,Explanation.5,The judge was patient,Explanation.6,The judge was audible,Explanation.7,The judge was intelligible,Explanation.8,The judge's questions were relevant,Explanation.9,The judge's decision was understandable,Explanation.10,The judge was considerate,Explanation.11,The judge was punctual,Explanation.12,The judge was attentive,Explanation.13,The judge was prepared,Explanation.14,The judge was authoritative,Explanation.15,Is there anything else you wish to address?,Unnamed: 45
2021/12/01 12:30:00,Teresa Sellers,andreamoses@gmail.com,Teresa Sellers,,2021/12/01,12:30:00,Chicago Courtroom 602,Charles Lindsey,,,Thomas Williams,Agree,,Strongly Agree,,Disagree,,Neutral,,Agree,,Strongly Agree,,Disagree,,Neutral,,Agree,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Disagree,,,
2021/07/06 10:00:00,Corey Robinson,sevans@pruitt-johnson.com,Corey Robinson,,2021/07/06,10:00:00,Chicago Courtroom 100,Ann Mcclain,,,Michael Mcclure,Disagree,,Strongly Agree,,Disagree,,Agree,,Neutral,,Disagree,,Neutral,,Disagree,,Strongly Disagree,,Agree,,Agree,,Disagree,,Neutral,,Strongly Agree,,Disagree,,Agree,,Defendant did not have an attorney,
2021/02/11 09:30:00,Christopher Shields,timothygreene@grimes.com,Christopher Shields,,2021/02/11,9:30:00,Chicago Courtroom 100,Ashley Rodriguez,,,,Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Disagree,,Disagree,,Strongly Agree,,Strongly Disagree,,Neutral,,Neutral,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Agree,,,
2021/09/29 12:00:00,Nicole Chandler,amythompson@lee-leblanc.com,Nicole Chandler,,2021/09/29,12:00:00,Chicago Courtroom 102,Carolyn Combs,,,Kelli Brown,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,Agree,,Strongly Agree,,,
2021/11/26 09:30:00,Timothy Ferguson,trobinson@beltran.com,Timothy Ferguson,,2021/11/26,9:30:00,Chicago Courtroom 102,Rebecca Davis,,,Garrett Jordan,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Agree,,Strongly Disagree,,Neutral,,Agree,,Disagree,,The man said...,
2021/03/15 09:00:00,Lisa Crawford,obarrera@turner.com,Lisa Crawford,,2021/03/15,9:00:00,Chicago Courtroom 502,,,,Mariah Flores,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Strongly Agree,,Neutral,,Disagree,,Neutral,,Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Neutral,,Neutral,,Strongly Agree,,patient,
2021/05/07 12:30:00,Jennifer Blackburn,smithdenise@melton-goodman.info,Jennifer Blackburn,,2021/05/07,12:30:00,Chicago Courtroom 205,Christopher Chandler,,,Hannah Nicholson,Neutral,,Neutral,,Strongly Agree,,Strongly Agree,,Neutral,,Neutral,,Strongly Disagree,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,,
2021/12/09 10:00:00,Jennifer Moore,jacksonmichael@yahoo.com,Jennifer Moore,,2021/12/09,10:00:00,Chicago Courtroom 100,Louis Pierce,,,Erin Lawson PhD,Neutral,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Neutral,,Agree,,Disagree,,Disagree,,Strongly Agree,,Neutral,,Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Neutral,,,
2021/12/06 12:30:00,Elijah Thompson,oconnordaniel@webb.org,Elijah Thompson,,2021/12/06,12:30:00,Chicago Courtroom 100,Jennifer Chapman,,,Deanna Cross,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Neutral,,Neutral,,Neutral,,Disagree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,and the judge explained to defendant,
2021/03/02 10:00:00,Haley Cowan,david94@ortega-moss.com,Haley Cowan,,2021/03/02,10:00:00,Chicago Courtroom 700,Jamie Erickson,,,Donald Gordon,Neutral,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,Disagree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Agree,,Strongly Agree,,,
2021/06/09 11:00:00,Robin Nelson,arthurroman@gmail.com,Robin Nelson,,2021/06/09,11:00:00,Chicago Courtroom 307,Lisa Pace PhD,,,Ashley Bryan,Neutral,,Strongly Agree,,Strongly Disagree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,Agree,,Neutral,,Agree,,Strongly Agree,,Disagree,,Neutral,,Neutral,,The attorney was...,
2021/04/06 12:30:00,Jacob Mercado,kimrobert@gmail.com,Jacob Mercado,,2021/04/06,12:30:00,Chicago Courtroom 100,Melissa Brown,,,Mark Dalton,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Neutral,,Agree,,Agree,,Agree,,Agree,,Neutral,,Agree,,Strongly Disagree,,Agree,,Disagree,,Strongly Agree,,Neutral,,,
2021/11/25 10:00:00,Benjamin Scott,fernandeztoni@yahoo.com,Benjamin Scott,,2021/11/25,10:00:00,Chicago Courtroom 600,Pamela Mccoy,,,Mary Rodriguez,Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,Agree,,Neutral,,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,PD asked for community service,
2021/04/05 11:00:00,Jessica Fisher,woodchristopher@martin-cummings.com,Jessica Fisher,,2021/04/05,11:00:00,Chicago Courtroom 100,Gregory Powell,,,Sarah Rose,Neutral,,Agree,,Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,,
2021/09/15 12:30:00,Matthew Warner,james21@harmon.org,Matthew Warner,,2021/09/15,12:30:00,Chicago Courtroom 700,Anthony Clark,,,James Long,Agree,,Neutral,,Neutral,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Agree,,Agree,,Agree,,Disagree,,Agree,,Strongly Agree,,Strongly Agree,,The attorney was...,
2021/05/26 12:30:00,Haley Cowan,david94@ortega-moss.com,Haley Cowan,,2021/05/26,12:30:00,Chicago Courtroom 700,,,,Christopher Cox,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Disagree,,Agree,,Strongly Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,
2021/11/19 09:30:00,Elijah Thompson,oconnordaniel@webb.org,Elijah Thompson,,2021/11/19,9:30:00,Chicago Courtroom 100,,,,,Agree,,Strongly Disagree,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,The hearing went quickly,
2021/07/19 09:30:00,Jennifer Miles,aburton@osborne.com,Jennifer Miles,,2021/07/19,9:30:00,Chicago Courtroom 100,Amber Jacobs MD,,,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Disagree,,Disagree,,Neutral,,Agree,,Strongly Disagree,,Strongly Disagree,,Strongly Agree,,Offered a continuance due to private...,
2021/06/01 12:30:00,Jennifer Wise,lopezlisa@knapp.info,Jennifer Wise,,2021/06/01,12:30:00,Chicago Courtroom 100,Joseph Ware,,,Sheryl Hurley,Strongly Agree,,Neutral,,Agree,,Strongly Disagree,,Neutral,,Disagree,,Agree,,Agree,,Disagree,,Agree,,Strongly Agree,,Neutral,,Disagree,,Strongly Disagree,,Strongly Agree,,Agree,,I think the judge was transparent...,
2021/03/16 09:30:00,Lisa Crawford,obarrera@turner.com,Lisa Crawford,,2021/03/16,9:30:00,Chicago Courtroom 100,,,,Keith Washington,Strongly Agree,,Disagree,,Agree,,Disagree,,Neutral,,Strongly Agree,,Neutral,,Neutral,,Disagree,,Neutral,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Neutral,,,
2021/11/09 09:00:00,Ryan Castillo,jonathanmcdonald@yahoo.com,Ryan Castillo,,2021/11/09,9:00:00,Chicago Courtroom 100,Lynn Bush,,,Sandra Casey,Agree,,Strongly Agree,,Agree,,Strongly Disagree,,Neutral,,Agree,,Strongly Agree,,Neutral,,Neutral,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Strongly Disagree,,Agree,,Agree,,I could not...,
2021/01/27 12:30:00,Matthew Warner,james21@harmon.org,Matthew Warner,,2021/01/27,12:30:00,Chicago Courtroom 204,Michael Hayden,,,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Disagree,,Disagree,,Strongly Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Strongly Disagree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,
2021/08/11 09:30:00,Joseph Vargas,bevans@solis.biz,Joseph Vargas,,2021/08/11,9:30:00,Chicago Courtroom 100,Elizabeth Romero,,,Thomas Williams,Agree,,Neutral,,Neutral,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Disagree,,Strongly Disagree,,Agree,,Agree,,Agree,,The hearing went quickly,
2021/06/29 11:00:00,Jason Davis,susan82@yahoo.com,Jason Davis,,2021/06/29,11:00:00,Chicago Courtroom 203,,,,Christopher Wright,Agree,,Disagree,,Neutral,,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Agree,,Disagree,,Agree,,Strongly Agree,,Disagree,,,
2021/08/03 09:30:00,Ann Taylor,brownelizabeth@gmail.com,Ann Taylor,,2021/08/03,9:30:00,Chicago Courtroom 307,Clayton Obrien,,,Julie Dunlap,Strongly Agree,,Neutral,,Neutral,,Agree,,Agree,,Agree,,Strongly Disagree,,Agree,,Strongly Agree,,Strongly Disagree,,Agree,,Strongly Agree,,Neutral,,Neutral,,Strongly Disagree,,Agree,,The Judge was...,
2021/08/04 09:30:00,Matthew Johnson,mbooker@montgomery-cole.com,Matthew Johnson,,2021/08/04,9:30:00,Chicago Courtroom 506,Tammy Hernandez,,,Jeremy Hunt,Agree,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Agree,,Neutral,,Strongly Agree,,Strongly Disagree,,Neutral,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,,
2021/04/27 09:30:00,David Hernandez,allison17@henry-harris.biz,David Hernandez,,2021/04/27,9:30:00,Chicago Courtroom 205,,,,,Neutral,,Agree,,Strongly Disagree,,Disagree,,Agree,,Strongly Agree,,Neutral,,Neutral,,Agree,,Strongly Agree,,Neutral,,Neutral,,Agree,,Agree,,Agree,,Disagree,,The attorney was...,
2021/01/08 12:30:00,Shannon Gross,lisagonzalez@wells.org,Shannon Gross,,2021/01/08,12:30:00,Chicago Courtroom 100,Ruth Harris,,,Jessica Preston,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Neutral,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Neutral,,PD asked for community service,
2021/01/05 09:00:00,George Ibarra,gle@mckee.info,George Ibarra,,2021/01/05,9:00:00,Chicago Courtroom 100,,,,James Long,Disagree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Disagree,,Agree,,,
2021/04/27 12:30:00,Nicole Chandler,amythompson@lee-leblanc.com,Nicole Chandler,,2021/04/27,12:30:00,Chicago Courtroom 100,Angela Gordon,,,Michael Bell,Strongly Agree,,Strongly Agree,,Disagree,,Neutral,,Disagree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Agree,,Agree,,Agree,,Strongly Agree,,Neutral,,Agree,,Agree,,Offered a continuance due to private...,
2021/12/13 11:00:00,Dawn Perry,darrencoleman@reed.com,Dawn Perry,,2021/12/13,11:00:00,Chicago Courtroom 100,Sarah Hammond,,,Mr. John Brown,Strongly Disagree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Neutral,,Neutral,,Agree,,Strongly Disagree,,Neutral,,Neutral,,Disagree,,,
2021/07/29 12:30:00,Christopher Garrison,vargasadam@frank.com,Christopher Garrison,,2021/07/29,12:30:00,Chicago Courtroom 100,Erik Clark,,,,Neutral,,Strongly Disagree,,Strongly Agree,,Neutral,,Strongly Agree,,Neutral,,Agree,,Agree,,Strongly Agree,,Neutral,,Strongly Disagree,,Strongly Agree,,Neutral,,Agree,,Agree,,Disagree,,,
2021/02/12 10:30:00,Daniel Miller,heidiwilliams@hotmail.com,Daniel Miller,,2021/02/12,10:30:00,Chicago Courtroom 502,Elizabeth Thomas,,,,Neutral,,Neutral,,Agree,,Agree,,Disagree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,,
2021/03/09 09:00:00,Whitney Kent,colleen34@fowler.biz,Whitney Kent,,2021/03/09,9:00:00,Chicago Courtroom 100,,,,,Neutral,,Strongly Agree,,Neutral,,Agree,,Strongly Agree,,Neutral,,Disagree,,Neutral,,Strongly Agree,,Strongly Disagree,,Agree,,Neutral,,Neutral,,Agree,,Neutral,,Strongly Agree,,was very understanding of folks,
2021/10/14 11:00:00,Timothy Ferguson,trobinson@beltran.com,Timothy Ferguson,,2021/10/14,11:00:00,Chicago Courtroom 3A15,Rachel Smith,,,William Weaver,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Disagree,,Agree,,Strongly Agree,,Strongly Disagree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Disagree,,Neutral,,Neutral,,Neutral,,Strongly Agree,,,
2021/03/04 11:00:00,Amanda Wood,sabrinagreen@yahoo.com,Amanda Wood,,2021/03/04,11:00:00,Chicago Courtroom 101,Mary Jenkins,,,Rachel Peterson,Neutral,,Strongly Disagree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Disagree,,Strongly Disagree,,Neutral,,Agree,,I think the judge was transparent...,
2021/08/16 09:30:00,Cheyenne Harris,alisonlopez@kim.com,Cheyenne Harris,,2021/08/16,9:30:00,Chicago Courtroom 100,Lindsey Perez,,,Erin Lawson PhD,Neutral,,Strongly Disagree,,Strongly Agree,,Disagree,,Neutral,,Agree,,Agree,,Agree,,Neutral,,Strongly Agree,,Agree,,Strongly Agree,,Neutral,,Strongly Agree,,Strongly Agree,,Agree,,The police officer was...,
2021/03/01 11:00:00,Cassie Bailey,jgreen@hotmail.com,Cassie Bailey,,2021/03/01,11:00:00,Chicago Courtroom 100,Kathleen Short,,,Lori Dean,Strongly Disagree,,Agree,,Neutral,,Strongly Agree,,Agree,,Agree,,Disagree,,Strongly Agree,,Disagree,,Strongly Disagree,,Neutral,,Agree,,Neutral,,Neutral,,Agree,,Strongly Disagree,,charge was violation of bail bond,
